home_team,away_team,week,season,pred_home_win,actual_home_win,book_home_ml_odds,book_away_ml_odds,book_home_spread,book_home_spread_odds,book_away_spread,book_away_spread_odds,pred_home_spread,actual_home_spread,pred_home_cover,actual_home_cover,spread_correct,spread_winnings,ml_correct,ml_winnings,naive_spread_winnings,naive_ml_winnings,pred_vs_book_spread
Bowling Green,Northern Illinois,7,2024,1,0,NA,NA,NA,NA,NA,NA,-1.27,10,NA,NA,NA,NA,0,0,NA,NA,NA
Bowling Green,Kent State,8,2024,1,1,-2400,1200,-24,-109,24,-111,-6.52,-21,1,1,1,1.917431,1,1.041667,0.9587156,1.041667,17.48
Bowling Green,Western Michigan,12,2024,1,1,-345,275,-9.5,-112,9.5,-107,-5.23,-18,1,0,0,0,1,1.289855,0.9672897,1.289855,4.27
Bowling Green,Miami (OH),14,2024,1,0,NA,NA,NA,NA,NA,NA,-8.2,16,NA,NA,NA,NA,0,0,NA,NA,NA
Buffalo,Western Michigan,8,2024,0,0,-105,-115,1,-110,-1,-110,5.03,7,1,1,1,1.909091,1,1.869565,0.9545455,1.869565,4.03
Buffalo,Ball State,12,2024,1,1,-166,140,-3.5,-109,3.5,-111,-5.63,-3,0,1,0,0,1,1.60241,0.9587156,1.60241,2.13
Buffalo,Kent State,14,2024,1,1,NA,NA,NA,NA,NA,NA,-18.11,-36,NA,NA,NA,NA,1,NA,NA,NA,NA
California,NC State,8,2024,0,0,-352,272,-9.5,-110,9.5,-115,5.28,1,1,1,1,1.909091,1,3.72,0.9545455,0,14.78
California,Oregon State,9,2024,1,1,-540,382,-13.5,-110,13.5,-110,-4.9,-37,1,0,0,0,1,1.185185,0.9545455,1.185185,8.6
California,Syracuse,12,2024,1,0,-360,285,-10.5,-108,10.5,-112,-13.39,8,0,1,0,0,0,0,0.962963,0,2.89
California,Stanford,13,2024,1,1,-642,452,-15,-111,15,-109,-16.19,-3,0,1,0,0,1,1.155763,0.9504505,1.155763,1.19
Central Michigan,Bowling Green,11,2024,0,0,525,-750,16,-111,-16,-109,11.86,10,0,0,1,1.917431,1,1.133333,0.9587156,1.133333,4.14
Central Michigan,Western Michigan,13,2024,0,1,182,-221,6,-112,-6,-108,9.41,-2,1,0,0,0,0,0,0.962963,0,3.41
Charlotte,Tulane,10,2024,0,0,470,-650,14.5,-109,-14.5,-111,16.43,31,1,1,1,1.917431,1,1.153846,0.9587156,1.153846,1.93
Charlotte,South Florida,12,2024,0,0,-119,-101,-1.5,-110,1.5,-110,6.49,35,1,1,1,1.909091,1,1.990099,0.9545455,0,7.99
Charlotte,UAB,14,2024,0,1,NA,NA,NA,NA,NA,NA,3.39,-2,NA,NA,NA,NA,0,0,NA,NA,NA
Cincinnati,Arizona State,8,2024,1,1,-205,170,-5.5,-110,5.5,-110,-3.13,-10,1,0,0,0,1,1.487805,0.9545455,1.487805,2.37
Cincinnati,West Virginia,11,2024,1,0,-170,140,-3.5,-110,3.5,-110,-7.02,7,0,1,0,0,0,0,0.9545455,0,3.52
Cincinnati,TCU,14,2024,0,0,NA,NA,NA,NA,NA,NA,6.62,7,NA,NA,NA,NA,1,NA,NA,NA,NA
Clemson,Virginia,8,2024,1,1,-1373,802,-20.5,-111,20.5,-109,-16.25,-17,1,1,1,1.900901,1,1.072833,0.9504505,1.072833,4.25
Clemson,Louisville,10,2024,1,0,-435,335,-11.5,-111,11.5,-108,-16.76,12,0,1,0,0,0,0,0.9504505,0,5.26
Clemson,South Carolina,14,2024,1,0,NA,NA,NA,NA,NA,NA,-7.93,3,NA,NA,NA,NA,0,0,NA,NA,NA
Coastal Carolina,Louisiana,8,2024,0,0,190,-230,6.5,-109,-6.5,-111,17.45,10,1,1,1,1.917431,1,1.434783,0.9587156,1.434783,10.95
Coastal Carolina,App State,11,2024,0,1,105,-125,2.5,-112,-2.5,-108,7.1,-14,1,0,0,0,0,0,0.962963,0,4.6
Coastal Carolina,Georgia Southern,13,2024,0,0,-127,106,-2.5,-111,2.5,-109,7.99,20,1,1,1,1.900901,1,2.06,0.9504505,0,10.49
Colorado,Cincinnati,9,2024,0,1,-227,187,-6,-112,6,-108,1.19,-11,1,0,0,0,0,0,0.962963,1.440529,7.19
Colorado,Utah,12,2024,1,1,-550,410,-13.5,-110,13.5,-110,-11.37,-25,1,0,0,0,1,1.181818,0.9545455,1.181818,2.13
Colorado,Oklahoma State,14,2024,1,1,NA,NA,NA,NA,NA,NA,-16.56,-52,NA,NA,NA,NA,1,NA,NA,NA,NA
Colorado State,San José State,7,2024,0,1,NA,NA,NA,NA,NA,NA,14.66,-7,NA,NA,NA,NA,0,0,NA,NA,NA
Colorado State,New Mexico,9,2024,0,1,-172,145,-3.5,-111,3.5,-109,3.35,-11,1,0,0,0,0,0,0.9587156,1.581395,6.85
Colorado State,Wyoming,12,2024,1,1,-312,252,-8.5,-111,8.5,-108,-11.47,-14,0,0,1,1.925926,1,1.320513,0.962963,1.320513,2.97
Colorado State,Utah State,14,2024,1,1,NA,NA,NA,NA,NA,NA,-5.08,-5,NA,NA,NA,NA,1,NA,NA,NA,NA
Duke,Florida State,8,2024,1,1,-135,115,-2.5,-112,2.5,-107,-10.49,-7,0,0,1,1.934579,1,1.740741,0.9672897,1.740741,7.99
Duke,SMU,9,2024,0,0,337,-462,11.5,-112,-11.5,-112,11.89,1,1,0,0,0,1,1.21645,0.9464286,1.21645,0.39
Duke,Virginia Tech,13,2024,0,1,114,-135,2.5,-105,-2.5,-115,5.48,-3,1,0,0,0,0,0,0.9347826,0,2.98
East Carolina,Temple,9,2024,0,1,-340,270,-9,-109,9,-111,2.66,-22,1,0,0,0,0,0,0.9504505,1.294118,11.66
East Carolina,Florida Atlantic,11,2024,1,1,-301,242,-7.5,-113,7.5,-106,-6.83,-35,1,0,0,0,1,1.332226,0.9716981,1.332226,0.67
East Carolina,Navy,14,2024,1,0,NA,NA,NA,NA,NA,NA,-12.34,14,NA,NA,NA,NA,0,0,NA,NA,NA
Eastern Michigan,Central Michigan,8,2024,1,1,-147,123,-3.5,-108,3.5,-111,-1.95,-4,1,0,0,0,1,1.680272,0.9504505,1.680272,1.55
Eastern Michigan,Toledo,10,2024,0,0,282,-360,10,-110,-10,-110,1.47,1,0,0,1,1.909091,1,1.277778,0.9545455,1.277778,8.53
Eastern Michigan,Buffalo,13,2024,0,0,-112,-108,-1,-108,1,-112,4.78,17,1,1,1,1.925926,1,1.925926,0.962963,0,5.78
Florida,Kentucky,8,2024,1,1,110,-130,2.5,-110,-2.5,-110,-2.08,-28,0,0,1,1.909091,1,2.1,0.9545455,0,4.58
Florida,LSU,12,2024,1,1,130,-155,3,-105,-3,-115,-1.95,-11,0,0,1,1.869565,1,2.3,0.9347826,0,4.95
Florida,Ole Miss,13,2024,0,1,380,-500,13.5,-111,-13.5,-109,10.87,-7,0,0,1,1.917431,0,0,0.9587156,0,2.63
Florida Atlantic,South Florida,10,2024,1,0,-100,-120,1.5,-109,-1.5,-111,-1.81,23,0,1,0,0,0,0,0.9587156,1.833333,3.31
Florida Atlantic,Charlotte,13,2024,1,0,133,-158,3,-108,-3,-112,-1.25,12,0,1,0,0,0,0,0.962963,1.632911,4.25
Florida International,Sam Houston,9,2024,0,0,160,-192,4.5,-108,-4.5,-112,6.25,3,1,0,0,0,1,1.520833,0.9464286,1.520833,1.75
Florida International,New Mexico State,10,2024,1,1,-278,225,-7,-112,7,-107,-0.77,-21,1,0,0,0,1,1.359712,0.9672897,1.359712,6.23
Florida International,Middle Tennessee,14,2024,1,1,NA,NA,NA,NA,NA,NA,-6.04,-11,NA,NA,NA,NA,1,NA,NA,NA,NA
Florida State,North Carolina,10,2024,1,0,NA,NA,NA,NA,NA,NA,-1.47,24,NA,NA,NA,NA,0,0,NA,NA,NA
Florida State,Florida,14,2024,0,0,NA,NA,NA,NA,NA,NA,9.5,20,NA,NA,NA,NA,1,NA,NA,NA,NA
Fresno State,San José State,9,2024,0,1,NA,NA,NA,NA,NA,NA,11.41,-23,NA,NA,NA,NA,0,0,NA,NA,NA
Fresno State,Hawai'i,10,2024,0,0,-495,372,-12,-112,12,-108,1.5,1,1,1,1,1.892857,1,4.72,0.9464286,0,13.5
Fresno State,Colorado State,13,2024,0,1,NA,NA,NA,NA,NA,NA,5.95,-6,NA,NA,NA,NA,0,0,NA,NA,NA
Georgia,Florida,10,2024,1,1,-700,500,-15,-115,15,-106,-12.62,-14,1,1,1,1.869565,1,1.142857,0.9347826,1.142857,2.38
Georgia,Tennessee,12,2024,1,1,-310,247,-8.5,-109,8.5,-111,-0.82,-14,1,0,0,0,1,1.322581,0.9504505,1.322581,7.68
Georgia,Massachusetts,13,2024,1,1,NA,NA,-42.5,-110,42.5,-110,-23.33,-38,1,1,1,1.909091,1,NA,0.9545455,NA,19.17
Georgia,Georgia Tech,14,2024,1,1,NA,NA,NA,NA,NA,NA,-16,-2,NA,NA,NA,NA,1,NA,NA,NA,NA
Georgia Southern,James Madison,8,2024,1,1,282,-362,10,-102,-10,-118,-3.36,-14,0,0,1,1.847458,1,3.82,0.9237288,0,13.36
Georgia Southern,Troy,12,2024,1,0,-278,225,-7,-110,7,-110,-6.88,8,1,1,1,1.909091,0,0,0.9545455,0,0.12
Georgia Southern,App State,14,2024,1,1,NA,NA,NA,NA,NA,NA,-6.1,-9,NA,NA,NA,NA,1,NA,NA,NA,NA
Georgia State,Arkansas State,12,2024,0,0,-136,114,-2.5,-112,2.5,-108,4.62,7,1,1,1,1.892857,1,2.14,0.9464286,0,7.12
